spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,NFP,29,0.2951108870967742,7.18,82.94,132.62,0.1261,0.1362,0.046,0.0,0.5452,0.1353,237.37,-0.8693,0.54,0.83,0.59,0.64,mid
BANG,NFP,30,0.3207831325301205,1.73,143.75,98.32,0.0882,0.2452,0.0269,0.0,0.5516,0.0907,238.73,-0.476,0.77,0.85,0.49,0.74,high
BANG,NFP,31,0.27947154471544716,0.58,149.74,99.37,0.0103,0.1859,0.0554,0.0,0.6473,0.097,235.96,0.0925,0.86,0.78,0.45,0.75,high
BANG,PWM,01,0.2933126775109734,3.54,136.39,88.94,0.1248,0.2761,-0.1053,0.0,0.891,0.1797,240.15,-4.2311,0.68,0.78,0.82,0.74,high
BANG,PWM,02,0.33604536489151876,3.62,116.67,86.72,0.2809,0.2323,0.1456,0.0,0.8161,0.1508,239.1,-2.8193,0.56,0.58,0.71,0.6,mid
BANG,PWM,03,0.2944613821138211,3.05,110.18,81.03,0.1379,0.1966,0.1029,0.0,0.863,0.1389,238.38,-3.3937,0.64,0.59,0.68,0.63,mid
BANG,PWM,04,0.3455734406438632,7.07,117.47,67.05,0.2556,0.2383,0.0373,0.0,0.8446,0.1259,240.19,-5.0463,0.5,0.67,0.71,0.59,mid
BANG,PWM,05,0.3170918367346939,5.36,117.25,71.04,0.1651,0.2514,0.1261,0.0,0.856,0.1394,240.03,-2.3434,0.58,0.57,0.68,0.6,mid
BANG,PWM,06,0.2823061630218688,3.69,135.21,67.46,0.0638,0.1946,0.0999,0.0,0.8369,0.1015,240.03,-1.746,0.73,0.61,0.57,0.66,mid
BANG,PWM,07,0.38927855711422843,7.42,153.54,74.55,0.2436,0.1483,0.0295,0.0,0.657,0.0984,239.5,-0.3101,0.63,0.8,0.52,0.66,mid
BANG,PWM,08,0.2524850894632207,9.99,150.72,67.51,0.4753,0.2537,0.0121,0.0,0.7771,0.0945,239.89,-1.3563,0.42,0.74,0.54,0.54,mid
BANG,PWM,09,0.24554455445544554,5.68,117.48,108.09,0.0637,0.2453,0.0327,0.0,0.6761,0.1139,242.96,-0.9584,0.63,0.79,0.63,0.68,mid
BANG,PWM,10,0.29270833333333335,12.72,124.86,70.52,0.8041,0.2181,0.1229,0.0,0.7015,0.104,243.87,-1.2402,0.3,0.68,0.61,0.48,mid
BANG,PWM,11,0.29690669371196754,6.23,146.51,69.42,0.0876,0.1398,0.0526,0.0,0.7506,0.0415,232.6,-2.0581,0.71,0.72,0.3,0.63,mid
BANG,PWM,12,0.24656188605108054,3.23,150.01,73.81,0.0296,0.1923,-0.0861,0.0,0.8498,0.1166,242.85,-1.3104,0.8,0.79,0.64,0.77,high
